cation	cation_smiles	logP	Atom count	Molecular weight	molecular	Aliphatic atom count	Aromatic atom count	Polar surface area	donorcount	acceptorcount	Refractivity	Bond count	Fused ring count	Chain atom count	Balaban index	Rotatable bond count	Smallest ring size	Ring count
[ChxmPyrr]	C[N+]1(CC2CCCCC2)CCCC1	-1.45	37	182.33	23.49	13	0	0	0	0	69.19	38	0	2	1.55	2	5	2
[BzPy]	C(C1=CC=CC=C1)[N+]1=CC=CC=C1	-1.46	25	170.234	19.31	1	12	3.88	0	0	54.67	26	0	1	1.45	2	6	2
[tert-BMIm]	CN1C=C[N+](=C1)C(C)(C)C	-2.42	25	139.221	16.77	5	5	8.81	0	0	42.66	25	0	5	2.45	1	5	1
[sec-BMIm]	CCC(C)[N+]1=CN(C)C=C1	-2.17	25	139.221	16.79	5	5	8.81	0	0	42.54	25	0	5	2.29	2	5	1
[(OH)2C3Mpyr]	C[N+]1(CC(O)CO)CCCC1=O	-5.3	28	174.219	18.22	12	0	57.53	2	3	45.11	28	0	7	2.47	3	5	1
[NeC3CNMPyr]	C[N+]1(CCCC#N)CCCC1	-3.5	28	153.248	18.5	11	0	23.79	0	1	57.96	28	0	6	1.93	3	5	1
[NeC3CNPy]	N#CCCC[N+]1=CC=CC=C1	-3.13	22	147.2	16.58	5	6	27.67	0	1	44.57	22	0	5	1.78	3	6	1
[DDA]	CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	4.01	71	326.632	47.15	23	0	0	0	0	118.86	70	0	23	3.33	18	0	0
[N1,1,12,2OPh ]	CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1	2.55	64	334.567	44.34	18	6	9.23	0	1	117.14	64	0	18	1.89	15	6	1
[P4,4,4,4 ]	CCCC[P+](CCCC)(CCCC)CCCC	5.57	53	259.437	34.42	17	0	0	0	0	83.09	52	0	17	4.39	12	0	0
[(C3COOMe)MIM]	COC(=O)CCC[N+]1=CN(C)C=C1	-3.32	28	183.23	20.19	8	5	35.11	0	1	49.16	28	0	8	1.84	5	5	1
[N112O2N114]+	CCCC[N+](C)(C)CCOCCN(C)C	-2.68	44	217.376	28.35	15	0	12.47	0	2	78.84	43	0	15	3.4	9	0	0
[N112N114]+	CCCC[N+](C)(C)CCN(C)C	-2.63	37	173.323	23	12	0	3.24	0	1	67.79	36	0	12	3.56	6	0	0
[N112N113]+	CCC[N+](C)(C)CCN(C)C	-3.07	34	159.296	20.9	11	0	3.24	0	1	63.19	33	0	11	3.54	5	0	0
[N112O2N113]+	CCC[N+](C)(C)CCOCCN(C)C	-3.12	41	203.349	26.25	14	0	12.47	0	2	74.24	40	0	14	3.34	8	0	0
[C3CNC1Pyr]	C[N+]1(CCCC#N)CCCC1	-3.5	28	153.248	18.5	11	0	23.79	0	1	57.96	28	0	6	1.93	3	5	1
PYR-3,1	CCC[N+]1(C)CCCC1	-2.69	27	128.238	16.6	9	0	0	0	0	52.72	27	0	4	2.06	2	5	1
IM-10,1	CCCCCCCCCCN1C=C[N+](C)=C1	0.52	43	223.383	29.77	11	5	8.81	0	0	70.33	43	0	11	1.78	9	5	1
P-14,6,6,6	CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC	12.69	101	483.869	68.62	33	0	0	0	0	156.7	100	0	33	4.34	28	0	0
MO-3OH,1	C[N+]1(CCCO)CCOCC1	-4.82	29	160.236	18.33	11	0	29.46	1	2	56.13	29	0	5	2.05	3	6	1
PYR-2,1	CC[N+]1(C)CCCC1	-3.21	24	114.211	14.58	8	0	0	0	0	48.19	24	0	3	2.4	1	5	1
IM-3,1,1	CCC[N+]1=C(C)N(C)C=C1	-2.95	25	139.221	17.04	5	5	8.81	0	0	53.33	25	0	5	2.33	2	5	1
IM-2OH,1	C[N+]1=CN(CCO)C=C1	-4.16	20	127.166	14.01	4	5	29.04	1	1	35.14	20	0	4	1.9	2	5	1
P-14,6,6,6	CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC	12.69	101	483.869	68.62	33	0	0	0	0	156.7	100	0	33	4.34	28	0	0
PYR-4,1	CCCC[N+]1(C)CCCC1	-2.24	30	142.265	18.68	10	0	0	0	0	57.32	30	0	5	2.22	3	5	1
N-8,2,2,2	CCCCCCCC[N+](CC)(CC)CC	0.2	47	214.416	29.44	15	0	0	0	0	82.43	46	0	15	3.54	10	0	0
PYR-4,1	CCCC[N+]1(C)CCCC1	-2.24	30	142.265	18.68	10	0	0	0	0	57.32	30	0	5	2.22	3	5	1
